,month_normalized,time_idx,value,static,date
146,2,36,272.84,2,2013-05-27
147,2,37,272.22,2,2013-05-28
148,2,38,269.63,2,2013-05-29
149,2,39,269.26,2,2013-05-30
150,2,40,268.21,2,2013-05-31
151,2,41,269.7,2,2013-06-01
152,2,42,269.75,2,2013-06-02
153,2,43,271.95,2,2013-06-03
154,2,44,272.26,2,2013-06-04
155,2,45,272.41,2,2013-06-05
156,2,46,270.84,2,2013-06-06
157,2,47,268.0,2,2013-06-07
158,2,48,269.69,2,2013-06-08
159,2,49,272.86,2,2013-06-09
160,2,50,271.51,2,2013-06-10
161,2,51,272.9,2,2013-06-11
162,2,52,274.07,2,2013-06-12
163,2,53,272.37,2,2013-06-13
164,2,54,272.39,2,2013-06-14
165,3,0,272.95,2,2013-06-15
166,3,1,267.65,2,2013-06-16
167,3,2,272.74,2,2013-06-17
168,3,3,271.24,2,2013-06-18
169,3,4,269.92,2,2013-06-19
170,3,5,264.66,2,2013-06-20
171,3,6,273.09,2,2013-06-21
172,3,7,274.02,2,2013-06-22
173,3,8,272.38,2,2013-06-23
174,3,9,272.3,2,2013-06-24
175,3,10,273.15,2,2013-06-25
176,3,11,268.39,2,2013-06-26
177,3,12,269.21,2,2013-06-27
178,3,13,270.15,2,2013-06-28
179,3,14,270.59,2,2013-06-29
180,3,15,270.23,2,2013-06-30
181,3,16,269.94,2,2013-07-01
182,3,17,269.22,2,2013-07-02
183,3,18,255.11,2,2013-07-03
184,3,21,274.19,2,2013-07-04
185,3,22,270.61,2,2013-07-05
186,3,23,269.68,2,2013-07-06
187,3,24,269.52,2,2013-07-07
188,3,25,272.02,2,2013-07-08
189,3,26,248.11,2,2013-07-09
190,3,41,268.63,2,2013-07-10
191,3,48,269.07,2,2013-07-11
192,3,49,266.26,2,2013-07-12
193,3,50,270.33,2,2013-07-13
194,3,51,265.17,2,2013-07-14
195,3,52,273.43,2,2013-07-15
196,3,53,277.47,2,2013-07-16
197,3,54,269.48,2,2013-07-17
198,4,0,268.33,2,2013-07-18
199,4,1,272.78,2,2013-07-19
200,4,2,267.09,2,2013-07-20
201,4,3,266.38,2,2013-07-21
202,4,4,270.16,2,2013-07-22
203,4,5,276.29,2,2013-07-23
204,4,6,273.63,2,2013-07-24
205,4,7,269.09,2,2013-07-25
206,4,8,267.89,2,2013-07-26
207,4,9,270.58,2,2013-07-27
208,4,10,272.05,2,2013-07-28
209,4,11,267.45,2,2013-07-29
210,4,12,273.33,2,2013-07-30
211,4,13,266.44,2,2013-07-31
212,4,14,263.34,2,2013-08-01
213,4,15,275.64,2,2013-08-02
214,4,16,264.25,2,2013-08-03
215,4,17,272.67,2,2013-08-04
216,4,18,268.2,2,2013-08-05
217,4,19,269.21,2,2013-08-06
218,4,20,269.93,2,2013-08-07
219,4,21,271.96,2,2013-08-08
220,4,22,270.88,2,2013-08-09
221,4,23,262.53,2,2013-08-10
222,4,24,265.45,2,2013-08-11
223,4,25,269.48,2,2013-08-12
224,4,26,266.98,2,2013-08-13
225,4,27,271.22,2,2013-08-14
226,4,28,271.97,2,2013-08-15
227,4,29,261.26,2,2013-08-16
228,4,30,270.24,2,2013-08-17
229,4,31,259.72,2,2013-08-18
230,4,32,268.49,2,2013-08-19
231,4,33,251.04,2,2013-08-20
232,4,38,271.54,2,2013-08-21
233,4,39,268.0,2,2013-08-22
234,4,40,271.24,2,2013-08-23
235,4,41,266.9,2,2013-08-24
236,4,42,266.31,2,2013-08-25
237,4,43,268.14,2,2013-08-26
238,4,44,269.39,2,2013-08-27
239,4,45,270.34,2,2013-08-28
240,4,46,266.12,2,2013-08-29
241,4,47,268.55,2,2013-08-30
242,4,48,268.43,2,2013-08-31
243,4,49,269.54,2,2013-09-01
244,4,50,267.38,2,2013-09-02
245,4,51,269.27,2,2013-09-03
246,4,52,271.3,2,2013-09-04
247,4,53,270.88,2,2013-09-05
248,4,54,268.89,2,2013-09-06
249,5,0,269.67,2,2013-09-07
250,5,1,268.0,2,2013-09-08
251,5,2,271.67,2,2013-09-09
252,5,3,271.32,2,2013-09-10
253,5,4,269.63,2,2013-09-11
254,5,5,270.97,2,2013-09-12
255,5,6,269.59,2,2013-09-13
256,5,7,270.35,2,2013-09-14
257,5,8,272.75,2,2013-09-15
258,5,9,268.43,2,2013-09-16
259,5,10,269.49,2,2013-09-17
260,5,11,257.53,2,2013-09-18
261,5,12,264.0,2,2013-09-19
262,5,13,265.36,2,2013-09-20
263,5,14,269.0,2,2013-09-21
264,5,15,265.65,2,2013-09-22
265,5,16,264.43,2,2013-09-23
266,5,17,267.74,2,2013-09-24
267,5,18,270.53,2,2013-09-25
268,5,19,263.31,2,2013-09-26
269,5,20,267.8,2,2013-09-27
270,5,21,268.77,2,2013-09-28
271,5,22,264.25,2,2013-09-29
272,5,23,265.43,2,2013-09-30
273,5,24,267.39,2,2013-10-01
274,5,25,266.5,2,2013-10-02
275,5,26,264.13,2,2013-10-03
276,5,27,265.43,2,2013-10-04
277,5,28,260.18,2,2013-10-05
278,5,29,260.08,2,2013-10-06
279,5,30,262.11,2,2013-10-07
280,5,31,263.76,2,2013-10-08
281,5,32,257.62,2,2013-10-09
282,5,33,269.77,2,2013-10-10
283,5,34,269.7,2,2013-10-11
284,5,35,271.06,2,2013-10-12
285,5,36,269.15,2,2013-10-13
286,5,37,268.94,2,2013-10-14
287,5,38,268.09,2,2013-10-15
288,5,39,267.61,2,2013-10-16
289,5,40,264.71,2,2013-10-17
290,5,41,267.95,2,2013-10-18
291,5,42,269.66,2,2013-10-19
292,5,43,263.51,2,2013-10-20
293,5,44,267.72,2,2013-10-21
294,5,45,265.28,2,2013-10-22
295,5,46,268.46,2,2013-10-23
296,5,47,270.44,2,2013-10-24
297,5,48,267.39,2,2013-10-25
298,5,49,268.28,2,2013-10-26
299,5,50,265.69,2,2013-10-27
300,5,51,264.71,2,2013-10-28
301,5,52,263.83,2,2013-10-29
302,5,53,265.65,2,2013-10-30
303,5,54,265.49,2,2013-10-31
304,6,0,265.85,2,2013-11-01
305,6,1,266.9,2,2013-11-02
306,6,2,267.17,2,2013-11-03
307,6,3,265.39,2,2013-11-04
308,6,4,260.12,2,2013-11-05
309,6,5,266.02,2,2013-11-06
310,6,6,266.25,2,2013-11-07
311,6,7,265.58,2,2013-11-08
312,6,8,263.15,2,2013-11-09
313,6,9,263.35,2,2013-11-10
314,6,10,260.43,2,2013-11-11
315,6,11,267.78,2,2013-11-12
316,6,12,261.64,2,2013-11-13
317,6,13,263.13,2,2013-11-14
318,6,14,264.73,2,2013-11-15
319,6,15,260.76,2,2013-11-16
320,6,16,266.63,2,2013-11-17
321,6,17,265.17,2,2013-11-18
322,6,18,266.36,2,2013-11-19
323,6,19,266.33,2,2013-11-20
324,6,26,259.36,2,2013-11-21
325,6,27,260.72,2,2013-11-22
326,6,28,264.51,2,2013-11-23
327,6,29,264.48,2,2013-11-24
328,6,30,263.51,2,2013-11-25
329,6,31,263.65,2,2013-11-26
330,6,32,261.85,2,2013-11-27
331,6,33,264.33,2,2013-11-28
332,6,34,264.83,2,2013-11-29
333,6,35,264.28,2,2013-11-30
334,6,36,264.89,2,2013-12-01
335,6,37,262.99,2,2013-12-02
336,6,38,260.77,2,2013-12-03
337,6,39,254.63,2,2013-12-04
338,6,40,261.08,2,2013-12-05
339,6,41,258.23,2,2013-12-06
340,6,42,259.58,2,2013-12-07
341,6,43,258.55,2,2013-12-08
342,6,44,261.78,2,2013-12-09
343,6,45,261.4,2,2013-12-10
344,6,46,261.95,2,2013-12-11
345,6,47,260.65,2,2013-12-12
346,6,48,260.59,2,2013-12-13
347,6,49,260.72,2,2013-12-14
348,6,50,260.23,2,2013-12-15
349,6,51,256.79,2,2013-12-16
350,6,52,256.3,2,2013-12-17
351,6,53,256.39,2,2013-12-18
352,6,54,255.37,2,2013-12-19
353,7,0,255.71,2,2013-12-20
354,7,1,254.47,2,2013-12-21
355,7,2,257.86,2,2013-12-22
356,7,3,257.82,2,2013-12-23
357,7,4,259.0,2,2013-12-24
358,7,5,256.93,2,2013-12-25
359,7,6,257.21,2,2013-12-26
360,7,7,258.5,2,2013-12-27
361,7,8,251.72,2,2013-12-28
362,7,9,254.72,2,2013-12-29
363,7,10,250.29,2,2013-12-30
364,7,11,245.82,2,2013-12-31
365,7,12,258.22,2,2014-01-01
366,7,13,254.79,2,2014-01-02
367,7,14,256.87,2,2014-01-03
368,7,15,255.9,2,2014-01-04
369,7,16,259.2,2,2014-01-05
370,7,17,256.32,2,2014-01-06
371,7,18,247.64,2,2014-01-07
372,7,19,250.68,2,2014-01-08
373,7,20,256.57,2,2014-01-09
374,7,21,254.07,2,2014-01-10
375,7,22,255.16,2,2014-01-11
376,7,23,249.42,2,2014-01-12
377,7,24,249.41,2,2014-01-13
378,7,25,247.64,2,2014-01-14
379,7,26,254.6,2,2014-01-15
380,7,27,247.3,2,2014-01-16
381,7,28,250.42,2,2014-01-17
382,7,29,246.41,2,2014-01-18
383,7,30,247.76,2,2014-01-19
384,7,31,250.68,2,2014-01-20
385,7,32,252.71,2,2014-01-21
386,7,33,249.9,2,2014-01-22
387,7,34,248.14,2,2014-01-23
388,7,35,251.46,2,2014-01-24
389,7,36,249.16,2,2014-01-25
390,7,37,246.95,2,2014-01-26
391,7,38,243.9,2,2014-01-27
392,7,39,247.47,2,2014-01-28
393,7,40,248.27,2,2014-01-29
394,7,41,249.1,2,2014-01-30
395,7,42,246.78,2,2014-01-31
396,7,43,245.54,2,2014-02-01
397,7,44,245.04,2,2014-02-02
398,7,45,253.57,2,2014-02-03
399,7,46,246.83,2,2014-02-04
400,7,47,248.82,2,2014-02-05
401,7,48,249.53,2,2014-02-06
402,7,49,247.8,2,2014-02-07
403,7,50,215.46,2,2014-02-08
404,8,5,248.13,2,2014-02-09
405,8,6,243.25,2,2014-02-10
406,8,7,247.75,2,2014-02-11
